id,name,type,power,age,town
yoma,yomama,1,5,NA,NA
wasi,wasi,2,40,34,NA
warn,warner music group,3,430,NA,hamburg
univ,universal music group,3,275,NA,muenchen
tony,tony d,2,2,NA,berlin
thom,thomas d,2,624,42,NA
sony,sony music group,3,920,NA,berlin
smud,smudo,2,585,42,NA
sido,sido,2,159,30,NA
schw,schwester s,2,47,NA,berlin
scho,schowi,2,40,32,NA
samy,samy deluxe,2,87,32,NA
pete,peter fox,2,390,38,NA
opti,optik records,1,37,NA,NA
mrre,mr reedoo,2,38,NA,berlin
mich,michi beck,2,585,42,NA
maxh,max herre,2,111,NA,hamburg
mate,mateo jasik,2,38,31,NA
lars,larsito,2,38,NA,berlin
lafr,lafrotino,2,38,NA,NA
kopf,kopfnicker records,1,16,NA,stuttgart
kool,kool savas,2,37,35,NA
koen,koenig boris,2,55,36,NA
ju,ju,2,40,33,NA
john,johnny strange,2,38,NA,berlin
jand,jan delay,2,120,NA,hamburg
ghot,g hot,2,2,27,NA
four,four music,1,355,NA,NA
fler,fler,2,30,28,NA
fett,fettes brot schallplatten gmbh,1,50,NA,stuttgart
ersg,ersguterjunge,1,230,NA,hamburg
emi,emi,3,91,NA,NA
east,eastwest records,1,24,NA,NA
down,downbeat records,1,171,NA,hamburg
donc,don cali,2,38,NA,hamburg
dokt,dokter renz,2,55,38,NA
deny,denyo,2,91,NA,hamburg
delu,deluxe records,1,21,NA,hamburg
dell,delle,2,119,40,NA
chin,chino con estilo,2,38,NA,muenchen
bush,bushido,2,230,32,NA
buba,buback,1,70,NA,hamburg
btig,b tight,2,2,NA,frankfurt
boun,boundzound,2,119,NA,muenchen
bjoe,bjoern beton,2,55,37,NA
azad,azad,2,37,37,NA
aggr,aggro berlin,1,160,NA,berlin
afro,afrob,2,18,34,NA
3p,pelham power productions (3p),1,47,NA,NA
