id,name,type,power,age,town
385,385 ideal,1,20,NA,frankfurt
667,667 one more than the devil,1,NA,NA,bielefeld
3p,pelham power productions (3p),1,47,NA,frankfurt
afro,afrob,2,18,NA,NA
aggr,aggro berlin,1,181,NA,berlin
alle,alles oder nix records,1,64,NA,bonn
alli,alligatoah,2,168,NA,NA
alph,alpha music empire,1,184,NA,duesseldorf
apal,ap allstars,1,NA,NA,weingarten
aufk,aufkeinenfall,1,391,NA,berlin
azad,azad,2,71,NA,NA
bang,banger musik,1,471,NA,duesseldorf
bast,basti,2,21,NA,NA
biki,bikini bottom mafia,1,127,NA,essen
bjoe,bjoern beton,2,55,NA,NA
bmg,bmg rights management,3,235,NA,berlin
bone,bonez mc,2,304,NA,NA
boun,boundzound,2,243,NA,NA
bozz,bozz music,1,34,NA,frankfurt
btig,b tight,2,2,NA,NA
buba,buback,1,70,NA,hamburg
buck,buckwheats music,1,NA,NA,mainz
bush,bushido,2,692,NA,NA
capi,capital bra,2,40,NA,NA
casp,casper,2,197,NA,NA
chim,chimperator,1,295,NA,stuttgart
chin,chino con estilo,2,38,NA,NA
cro,cro,2,385,NA,NA
deic,deichkind music,1,NA,NA,hamburg
dell,delle,2,243,NA,NA
delu,deluxe records,1,21,NA,hamburg
deny,denyo,2,179,NA,NA
dist,distributionz,1,NA,NA,osnabrueck
dokt,dokter renz,2,55,NA,NA
donc,don cali,2,38,NA,NA
down,downbeat records,1,171,NA,berlin
east,eastwest records,1,24,NA,hamburg
eims,eimsbush entertainment,1,NA,NA,hamburg
emi,emi,3,114,NA,berlin
ersg,ersguterjunge,1,792,NA,berlin
essa,essah entertainment,1,218,NA,berlin
fari,farid bang,2,331,NA,NA
ferr,ferris hilton,2,81,NA,NA
fett,fettes brot schallplatten gmbh,1,50,NA,hamburg
fler,fler,2,30,NA,NA
four,four music,1,355,NA,stuttgart
germ,german dream,1,NA,NA,koeln
ghot,g hot,2,2,NA,NA
glet,g lette music,1,NA,NA,berlin
gold,goldzweig,1,33,NA,berlin
gree,green berlin,1,72,NA,berlin
gzuz,gzuz,2,181,NA,NA
indi,indipendenza,1,203,NA,berlin
irie,irievibrations records,1,NA,NA,wien
isla,island records,1,NA,NA,berlin
jand,jan delay,2,313,NA,NA
john,johnny strange,2,38,NA,NA
ju,ju,2,40,NA,NA
karu,karuzo,2,90,NA,NA
kayo,kay one,2,15,NA,NA
kcre,kc rebell,2,212,NA,NA
kein,keine liebe records,1,51,NA,berlin
kmn,kmn gang,1,9,NA,dresden
koen,koenig boris,2,55,NA,NA
koll,kollegah,2,448,NA,NA
kont,kontra k,2,128,NA,NA
kool,kool savas,2,321,NA,NA
kopf,kopfnicker records,1,16,NA,stuttgart
kryp,kryptik joe,2,81,NA,NA
lafr,lafrotino,2,38,NA,NA
lars,larsito,2,38,NA,NA
life,life is pain,1,NA,NA,essen
lx,lx,2,84,NA,NA
magn,magnum12,1,NA,NA,berlin
majo,majoe,2,6,NA,NA
mars,marsimoto,2,18,NA,NA
mart,marteria,2,151,NA,NA
mask,maskulin,1,,NA,berlin
mate,mateo jasik,2,38,NA,NA
maxh,max herre,2,297,NA,NA
maxi,maxim,2,79,NA,NA
maxw,maxwell,2,115,NA,NA
mich,michi beck,2,687,NA,NA
mike,mike,2,37,NA,NA
motr,motrip,2,35,NA,NA
mrre,mr reedoo,2,38,NA,NA
mzee,mzee-records,1,NA,NA,berlin
neso,nesola,1,186,NA,berlin
nico,nico,2,79,NA,NA
nimo,nimo,2,20,NA,NA
nope,no peanuts,1,NA,NA,berlin
ones,one shotta records,1,NA,NA,berlin
opti,optik records,1,37,NA,berlin
outt,outta this world,1,NA,NA,saarbruecken
pete,peter fox,2,514,NA,NA
pork,porky,2,81,NA,NA
pott,pottweiler entertainment,1,NA,NA,essen
pri,prinz pi,2,51,NA,NA
prin,prince kay one gmbh,1,NA,NA,weingarten
punc,punchline,1,NA,NA,hannover
putd,put da needle to da records,1,NA,NA,aachen
rafc,raf camora,2,203,NA,NA
rapp,rappersin,1,NA,NA,berlin
roya,royal bunker,1,NA,NA,berlin
sa4,sa4,2,84,NA,NA
samy,samy deluxe,2,120,NA,NA
scho,schowi,2,40,NA,NA
schw,schwester s,2,47,NA,NA
self,selfmade records,1,400,NA,duesseldorf
shin,shindy,2,238,NA,NA
shne,shneezin,2,37,NA,NA
show,showdown records,1,NA,NA,berlin
shra,shrazy records,1,NA,NA,essen
sido,sido,2,471,NA,NA
smud,smudo,2,687,NA,NA
sony,sony music,3,2048,NA,muenchen
soul,soulfood,3,79,NA,hamburg
spon,spongebozz,2,127,NA,NA
ssio,ssio,2,44,NA,NA
stay,stay high,1,11,NA,berlin
sudd,sudden,2,21,NA,NA
sult,sultan guenther musik,1,NA,NA,hamburg
summ,summer cem,2,61,NA,NA
tare,tarek,2,79,NA,NA
thom,thomas d,2,726,NA,NA
timi,timi hendrix,2,21,NA,NA
tony,tony d,2,2,NA,NA
topr,toprott muzik,1,NA,NA,hamburg
trai,trailerpark,1,168,NA,berlin
trip,triple penis entertainment,1,NA,NA,bremerhaven
ufo,ufo361,2,11,NA,NA
univ,universal music group,3,936,NA,hamburg
vert,vertigo records,1,176,NA,berlin
warn,warner music group,3,615,NA,hamburg
wasi,wasi,2,40,NA,NA
wolf,wolfpack entertainment,1,NA,NA,berlin
xata,xatar,2,20,NA,NA
yoma,yomama,1,5,NA,hamburg
yomu,yo musix,1,NA,NA,berlin
zuna,zuna,2,9,NA,NA
