from,to,year,relationship
btig,aggr,2001,1
bush,aggr,2001,1
fler,aggr,2002,1
ghot,aggr,2005,1
harr,aggr,2005,1
kitt,aggr,2006,1
sido,aggr,2001,1
tony,aggr,2005,1
bush,btig,2001,3
fler,btig,2002,3
kitt,btig,2006,3
sido,btig,1998,3
sido,bush,2001,3
bush,fler,2002,3
kitt,fler,2006,3
sido,fler,2002,3
btig,ghot,2005,3
fler,ghot,2005,3
kitt,ghot,2006,3
sido,ghot,2005,3
tony,ghot,2005,3
sido,gold,2015,1
sido,harr,2005,3
sido,kitt,2006,3
sido,kool,2017,3
sido,roya,1997,1
bush,sony,2011,1
sido,sony,2011,1
btig,tony,2005,3
fler,tony,2005,3
kitt,tony,2006,3
sido,tony,2005,3
aggr,univ,2007,2
gold,univ,2015,2
kool,univ,2017,1
sido,univ,2009,1
